  Max Value: 2.248193, Column: SRR13108335  Second Max Value: 1.771916, Column: ERR2077887
  Max Value: 2.427840, Column: SRR8357175  Second Max Value: 2.147139, Column: SRR8357176
  Max Value: 2.329925, Column: ERR2076279  Second Max Value: 0.983640, Column: ERR2076168
  Max Value: 2.001091, Column: ERR2076274  Second Max Value: 1.782451, Column: ERR2076272
  Max Value: 2.118035, Column: SRR13108334  Second Max Value: 1.194888, Column: SRR8357175
  Max Value: 1.593714, Column: SRR8399080  Second Max Value: 0.332044, Column: SRR7755374
  Max Value: 1.865420, Column: ERR2074046  Second Max Value: 0.832111, Column: ERR2075517
  Max Value: 2.018576, Column: ERR2074736  Second Max Value: 1.773867, Column: SRR8357175
  Max Value: 1.246194, Column: ERR2074052  Second Max Value: 0.675617, Column: ERR2074053
  Max Value: 1.727772, Column: ERR2075397  Second Max Value: 1.711158, Column: SRR8258963
  Max Value: 4.088061, Column: SRR8258959  Second Max Value: 0.059316, Column: ERR2076675
  Max Value: 3.381202, Column: ERR489205  Second Max Value: 2.934094, Column: ERR489204
  Max Value: 9.820022, Column: ERR2074541  Second Max Value: 3.254260, Column: ERR2076415
  Max Value: 1.684309, Column: SRR7755449  Second Max Value: 0.669516, Column: SRR13108334
  Max Value: 6.765215, Column: ERR2076415  Second Max Value: 6.566514, Column: ERR2074541
  Max Value: 5.048604, Column: SRR3109717  Second Max Value: 2.423793, Column: SRR3109718
  Max Value: 2.135253, Column: SRR8357175  Second Max Value: 1.181211, Column: SRR5810020
  Max Value: 21.574760, Column: ERR2074601  Second Max Value: 16.019226, Column: ERR2076507
  Max Value: 3.155912, Column: SRR6780842  Second Max Value: 0.813141, Column: SRR6780844
  Max Value: 10.759858, Column: ERR2075921  Second Max Value: 5.432086, Column: SRR6780842
  Max Value: 2.180612, Column: SRR8357175  Second Max Value: 1.759702, Column: ERR2074736
  Max Value: 25.298800, Column: SRR3109718  Second Max Value: 16.089605, Column: SRR3109717
  Max Value: 2.977447, Column: SRR8357176  Second Max Value: 1.646776, Column: SRR8357174
  Max Value: 1.612831, Column: SRR13108334  Second Max Value: 1.470943, Column: SRR13108333
